firma,street,plz,city,country,country_code,local_number,long_number_flag
Sicherheitstechnik Klaus Noch,Saarstr. 76,50859,Köln (Lövenich),DE,49.0,1772041695,No
WHS-Hochwasserschutz GmbH & Co. KG,Ursberger Str. 17,86470,Thannhausen,DE,49.0,1708208946,No
"switch! GmbH, Gesellschaft für innovative Telecommunication und Datentechnik mbH",Provinzialstraße 42,66787,Wadgassen,DE,49.0,1704514302,Yes
"Kunick Markierungen, Inh. Fabian Schwarz",In der Schrei 16,73450,Neresheim,DE,49.0,1785400086,Yes
MOZART GmbH,Scharnhorststrasse 23,73054,Eislingen,DE,49.0,1752651903,Yes
HWS Heidelberger Wach- & Sicherheitsdienst GmbH,Heinrich-Fuchs-Str. 43,69126,Heidelberg,DE,49.0,1608757221,Yes
Skytec Security GmbH,Hildesheimer Str. 14a,15366,Neuenhagen,DE,49.0,1774375091,Yes
Arno Arnold GmbH,Bieberer Straße 161,63179,Obertshausen,DE,49.0,179783773849,Yes
Iven Axen Blitzschutz GmbH,Kleinfeld 65,21149,Hamburg,DE,49.0,1794118564,No
Multicomsystem OHG,Heinrich-Lersch-Straße 18A,40721,Hilden,DE,49.0,1745235811,No
GRÖGER Tore + Lösungen UG,Pforzheimer Str. 26,75180,Pforzheim,DE,49.0,1783660725,No
Dr. Reimann Projektmanagement Gesellschaft mbH,HerzoGoethestraße 54,38667,Bad Harzburg,DE,49.0,1736653081,Yes
schutz in form GmbH,Neuer Weg 15,74736,Schweinberg,DE,49.0,1729227701,Yes
Hofmeister Sicherheitstechnik GmbH,Gartenstraße 2,10115,Berlin,DE,49.0,1528120302,Yes
"FERROTEC-Sealing-Solutions OHG, Inh.: Hans-Jörg Blümel, Jürgen Mutz",Kruppstraße 4 - Gewerbegebiet Merenberg,35799,Merenberg,DE,49.0,1753822066,Yes
Walden Sicherheitstechnik GbR,Kettenstraße 41,16909,Wittstock / Dosse,DE,49.0,1785506791,Yes
access group gmbh,Rudolf-Diesel-Straße 9,78467,Konstanz,DE,49.0,6485386174,No
Wimmelmeier Fenster und Türen GmbH & Co. KG,Gewerbe Str. 6,33397,Rietberg,DE,49.0,1525082354,Yes
Aero&Inkeaters,Stollbergerstr. 69,12627,Berlin,DE,49.0,1529449336,Yes
"Harrys Tattoo Studio, Inhaber: Harry Körner",Oberhäuser Straße 17,91522,Ansbach,DE,49.0,4636148175,No
"Paintfull. Tattoo & Piercing, Inh. Benjamin Bucher",Kolomanstr. 22,73527,Schwäbisch Gmünd,DE,49.0,1788020178,No
Tath's Piercing,Bahnhofstraße 67,63607,Wächtersbach,DE,49.0,1735947527,No
